id,year,text,category,proposer,outcome,outcome_date,Andrew,Bruce,Christine,Claude,David,Eileen,Gael,Iain,Jac,James F,James M,Kate,Lachy,Leslie,Pete,Rohan
2022-1,2022,That there will be a hung parliament at the next election and Labor will take office,politics,Iain,False,,0.4,0.7,0.1,,,0.2,0.65,0.5,0.2,,0.1,0.8,0.35,,0.1,0.45
2022-2,2022,Dan Andrews will become leader of the Australian Labor Party,politics,Iain,False,,0.2,0.1,0.05,,,0.2,0.0,0.1,0.001,,0.05,0.1,0.001,,0.1,0.01
2022-3,2022,The Greens will get more than 9 senators in the next federal election,politics,Kate,True,,0.6,0.3,0.1,,,0.6,0.6,0.7,0.7,,0.1,0.1,0.5,,0.5,0.55
2022-4,2022,The House of Reps will include 5 independents by the end of the federal election,politics,Kate,True,,0.7,0.3,0.1,,,0.7,0.75,0.9,0.001,,0.1,0.9,0.5,,0.8,0.7
2022-5,2022,The Australian Labor Party will not pledge to reverse the uni fee structure introduced in 2020,politics,Kate,True,,0.6,0.8,0.9,,,0.7,0.85,0.5,0.9,,0.9,0.9,0.85,,0.8,0.75
2022-6,2022,Zali Steggal and Helen Haines will both retain their seats in Federal Parliament,politics,Gael,True,,0.5,0.9,0.5,,,0.7,0.95,0.9,0.4,,0.5,0.9,0.85,,0.9,0.5
2022-7,2022,Scott Morrison will lose leadership of the Liberal Party at least once,politics,Bruce,True,,0.8,0.7,0.15,,,0.3,0.75,0.6,0.5,,0.05,0.9,0.35,,0.7,0.9
2022-8,2022,Anthony Albanese will be Prime Minister on at least one day,politics,Bruce,True,,0.6,0.9,0.05,,,0.3,0.75,0.1,0.3,,0.05,0.9,0.35,,0.8,0.4
2022-9,2022,A sitting MP will make allegations of possible voter fraud or election 'rigging' in the 2022 Australian federal election,politics,Lachy,False,,0.55,0.3,0.3,,,0.4,0.35,0.9,0.9,,0.3,0.7,0.85,,0.4,0.8
2022-10,2022,The Australian Intelligence Community will release a statement contradicting a Government minister or MP during the 2022 election campaign,politics,Lachy,False,,0.4,0.2,0.1,,,0.2,0.55,0.1,0.15,,0.1,0.9,0.001,,0.1,0.75
2022-11,2022,Scott Morrison will still be the Prime Minister of Australia,politics,Andrew,False,,0.4,0.2,0.2,,,0.8,0.75,0.5,0.7,,0.05,0.1,0.65,,0.3,0.1
2022-12,2022,An Australian federal Minister will step down from their position due to direct involvement (proven or otherwise) in sexual misconduct at some point in the year.,politics,Andrew,False,,0.65,0.4,0.1,,,0.9,0.35,0.9,0.2,,0.1,0.6,0.15,,0.3,0.6
2022-13,2022,"Friendlyjordies, or evidence he has brought to light, will feature in a court case or ICAC inquiry.",politics,Andrew,True,,0.55,0.7,0.3,,,0.6,0.65,0.7,0.5,,0.3,0.1,0.15,,0.5,0.5
2022-14,2022,"At least one person commits suicide as an effect of the Royal Commission into Defence and Veteran Suicide, as reported in The Guardian",politics,Jac,False,,0.4,0.8,0.7,,,0.4,0.85,0.3,0.6,,0.7,0.9,0.15,,0.5,0.4
2022-15,2022,Taylor Swift will get married,entertainment,Kate,False,,0.55,0.4,0.7,,,0.15,0.8,0.6,0.2,,0.7,0.8,0.15,,0.5,0.01
2022-16,2022,Jane Campion will win the Oscar for Best Director,entertainment,Gael,True,,0.8,0.6,0.2,,,0.9,0.95,0.9,0.7,,0.2,0.1,0.5,,0.5,0.3
2022-17,2022,"Harry and Megan's animated series ""Pearl"" will be released and have over 50% on Rotten Tomatoes",entertainment,Lachy,False,,0.4,0.3,0.8,,,0.4,0.8,0.1,0.2,,0.8,0.8,0.15,,0.5,0.4
2022-18,2022,Prince Andrew will enter or exit a courtroom wearing an oxygen mask and/or sitting in a wheelchair,entertainment,Lachy,False,,0.3,0.2,0.7,,,0.1,0.2,0.4,0.1,,0.05,0.1,0.15,,0.1,0.2
2022-19,2022,News Ltd will report on the emergence of a conspiracy theory relating to the Queen's death: that the palace is either secretly concealing her death or her continuing life,entertainment,Lachy,False,,0.25,0.4,0.8,,,0.05,0.85,0.5,0.05,,0.8,0.1,0.001,,0.1,0.5
2022-20,2022,Julian Assange will be located in Australia,entertainment,Andrew,False,,0.2,0.2,0.1,,,0.05,0.55,0.3,0.2,,0.1,0.2,0.15,,0.1,0.3
2022-21,2022,An alleged sexual predator will recieve an Emmy or Oscar by mainstream media (Andrew’s system),entertainment,Rohan,False,,0.4,0.3,0.3,,,0.2,0.7,0.6,0.2,,0.3,0.8,0.65,,0.1,0.6
2022-22,2022,The Queen will die,entertainment,James M,True,,0.4,0.2,0.9,,,0.3,0.7,0.7,0.05,,0.9,0.9,0.35,,0.1,0.3
2022-23,2022,Ghislaine Maxwell will successfully strike a plea deal and reduce her aggregate sentence to no greater than 10 years with parole no greater than 5 years.,entertainment,James M,False,,0.45,0.7,0.7,,,0.1,0.65,0.9,0.2,,0.7,0.1,0.65,,0.7,0.5
2022-24,2022,Formal criminal charges will be laid against Prince Andrew for sex offenses,entertainment,James M,False,,0.6,0.2,0.7,,,0.9,0.65,0.1,0.15,,0.7,0.2,0.15,,0.5,0.5
2022-25,2022,Elizabeth Holmes will be sentenced to no greater than 15 years imprisonment.,entertainment,James M,True,,0.6,0.9,0.8,,,0.5,0.7,0.9,0.7,,0.8,0.9,0.85,,0.5,0.7
2022-26,2022,Meghan and Harry will separate,entertainment,James M,False,,0.2,0.1,0.2,,,0.1,0.2,0.5,0.05,,0.2,0.8,0.15,,0.1,0.3
2022-27,2022,Tom Holland and Zendaya will separate.,entertainment,James M,False,,0.6,0.6,0.2,,,0.5,0.65,0.4,0.2,,0.2,0.9,0.5,,0.5,0.4
2022-28,2022,Donald Trump endorses on social media a movement that is called White Lives Matter,entertainment,Jac,False,,0.3,0.3,0.8,,,0.1,0.45,0.9,0.001,,0.8,0.9,0.001,,0.1,0.55
2022-29,2022,Britney Spears returns under conservatorship,entertainment,Jac,False,,0.1,0.1,0.05,,,0.05,0.0,0.1,0.05,,0.05,0.1,0.001,,0.1,0.5
2022-30,2022,"Taylor Swift and her partner separate, or announce they're expecting a child",entertainment,Jac,False,,0.4,0.3,0.7,,,0.1,0.6,0.7,0.1,,0.7,0.9,0.15,,0.5,0.2
2022-31,2022,Aung San Suu Kyi dies or announces she has a terminal illness (terminal illness including cancer),entertainment,Jac,False,,0.5,0.4,0.5,,,0.2,0.45,0.3,0.2,,0.5,0.1,0.35,,0.1,0.5
